listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability
3075044,42.2852178,-71.1342563,4.79,5.28,4.85,7.2,9.47,6.33,8.14,6.92,2.14,5.8,65,1,65,94,1.3,36,Apartment,Private room,2,100,1,1,1,359
6976,42.2918888,-71.1350492,4.36,4.82,4.63,6.74,9.49,6.32,8.11,6.93,1.69,5.54,65,1,65,98,0.47,41,Apartment,Private room,2,100,1,1,1,319
7651065,42.2839824,-71.1357287,4.86,5.33,4.97,7.24,9.59,6.45,8.25,7.03,2.18,5.92,79,2,39.5,99,2.25,29,House,Private room,2,100,1,1.5,1,334
12386020,42.2937491,-71.1305477,4.03,4.49,4.3,6.41,9.07,5.98,7.73,6.51,1.35,5.2,75,1,75,100,1.7,8,Condominium,Private room,2,100,2,1,1,58
5706985,42.2803086,-71.1313643,4.94,5.56,5.01,7.53,9.63,6.49,8.29,7.07,2.39,5.96,100,2,50,90,4,57,Apartment,Entire home/apt,3,98,5,1,1,344
2843445,42.2795479,-71.1355308,5.05,5.66,5.11,7.59,9.73,6.59,8.4,7.17,2.49,6.06,75,1,75,96,2.38,67,House,Private room,2,100,2,2,1,365
753446,42.284581,-71.1250004,4.65,5.27,4.72,7.24,9.34,6.2,8.01,6.78,2.1,5.67,58,2,29,96,5.36,65,Condominium,Private room,2,100,1,1,1,347
849408,42.2776715,-71.1604063,5.99,6.45,6.26,8.37,11.25,7.95,9.74,8.69,3.32,7.17,229,2,114.5,94,1.01,33,Apartment,Entire home/apt,5,100,2,1,2,107
1668313,42.2839824,-71.1357287,4.86,5.33,4.97,7.24,9.59,6.45,8.25,7.03,2.18,5.92,57,1,57,94,0.48,17,House,Private room,1,100,2,1,1,341
13547301,42.2895642,-71.1298046,4.39,4.85,4.66,6.77,9.18,6.04,7.84,6.62,1.71,5.51,150,3,50,97,4.93,12,Apartment,Entire home/apt,5,100,1,1,2,129
5434353,42.2870209,-71.1404614,4.81,5.27,5.08,7.19,9.79,6.65,8.46,7.23,2.14,5.99,145,2,72.5,91,0.56,7,House,Entire home/apt,2,75,1,1.5,2,319
225979,42.2803001,-71.1298518,4.93,5.55,5,7.52,9.62,6.48,8.28,7.06,2.38,5.95,60,1,60,96,1.16,70,Apartment,Private room,1,100,2,0,1,339
7252607,42.2847263,-71.1141626,4.62,5.24,4.69,7.21,9.31,6.17,7.97,6.75,2.32,5.64,49,1,49,95,0.29,4,House,Private room,2,100,3,1,1,262
2583074,42.2790067,-71.1361654,5.1,5.71,5.16,7.61,9.78,6.64,8.45,7.22,2.54,6.11,40,1,40,99,1.24,31,Villa,Private room,1,100,3,2.5,1,332
13251243,42.2936962,-71.1391139,4.27,4.74,4.54,6.65,9.52,6.23,8.02,6.96,1.6,5.45,120,2,60,98,5.93,16,House,Entire home/apt,3,100,1,1,0,207
225834,42.2803001,-71.1298518,4.93,5.55,5,7.52,9.62,6.48,8.28,7.06,2.38,5.95,70,1,70,98,0.63,38,Apartment,Private room,2,100,2,0,1,299
6400432,42.2759084,-71.1256625,5.16,5.77,5.23,7.74,9.84,6.7,8.51,7.29,2.76,6.17,150,5,30,88,1.58,21,House,Entire home/apt,8,100,1,1,3,0
894539,42.2903635,-71.1309353,4.32,4.79,4.59,6.7,9.26,6.12,7.92,6.7,1.64,5.49,95,1,95,96,1.13,40,House,Private room,2,100,2,1.5,1,1
879929,42.2903635,-71.1309353,4.32,4.79,4.59,6.7,9.26,6.12,7.92,6.7,1.64,5.49,90,1,90,95,1.06,43,Apartment,Private room,2,100,1,1,1,122
9218312,42.2895642,-71.1298046,4.39,4.85,4.66,6.77,9.18,6.04,7.84,6.62,1.71,5.51,95,1,95,99,4.02,33,House,Private room,2,100,1,1,1,107
321328,42.2916525,-71.1347054,4.38,4.84,4.65,6.76,9.46,6.34,8.13,6.91,1.71,5.56,100,2,50,90,0.21,11,Apartment,Private room,2,60,1,1,1,356
1810172,42.2839824,-71.1357287,4.86,5.33,4.97,7.24,9.59,6.45,8.25,7.03,2.18,5.92,67,1,67,96,0.58,20,House,Private room,2,100,2,1,1,310
6513924,42.2836161,-71.1190032,4.38,4.99,4.44,6.96,9.06,5.92,7.73,6.5,2.07,5.39,55,1,55,92,1.93,30,Condominium,Private room,1,95,1,1,1,129
7086825,42.2847263,-71.1141626,4.62,5.24,4.69,7.21,9.31,6.17,7.97,6.75,2.32,5.64,49,1,49,98,0.72,10,House,Private room,1,100,3,1,1,325
1861070,42.2776651,-71.1288328,5.23,5.84,5.3,7.81,9.91,6.77,8.58,7.36,2.67,6.24,75,1,75,96,0.59,17,House,Private room,1,100,1,1.5,1,362
4283698,42.2901557,-71.137989,4.51,4.98,4.78,6.89,9.72,6.47,8.27,7.16,1.84,5.69,110,2,55,87,2.36,55,House,Entire home/apt,4,100,2,1,1,300
8548176,42.2803086,-71.1313643,4.94,5.56,5.01,7.53,9.63,6.49,8.29,7.07,2.39,5.96,125,5,25,91,2.07,24,House,Entire home/apt,16,98,5,1,3,351
4922204,42.2803086,-71.1313643,4.94,5.56,5.01,7.53,9.63,6.49,8.29,7.07,2.39,5.96,200,7,28.57,95,4.32,82,House,Entire home/apt,16,98,5,2.5,3,343
4085362,42.2795479,-71.1355308,5.05,5.66,5.11,7.59,9.73,6.59,8.4,7.17,2.49,6.06,75,1,75,97,0.87,20,House,Private room,2,100,2,2,1,361
3755609,42.2759084,-71.1256625,5.16,5.77,5.23,7.74,9.84,6.7,8.51,7.29,2.76,6.17,78,1,78,95,0.87,21,House,Private room,1,100,1,1,1,339
13768853,42.288908,-71.1341622,4.44,4.9,4.71,6.82,9.48,6.34,8.15,6.92,1.76,5.61,50,2,25,96,5.77,10,Apartment,Private room,4,100,1,1,1,0
1936861,42.2901557,-71.137989,4.51,4.98,4.78,6.89,9.72,6.47,8.27,7.16,1.84,5.69,60,1,60,98,4.39,143,Apartment,Private room,1,100,1,1,1,355
1724900,42.2851663,-71.1319945,4.69,5.28,4.76,7.2,9.38,6.24,8.04,6.82,2.14,5.71,145,2,72.5,92,0.74,26,House,Entire home/apt,4,77,2,1,2,306
13937181,42.2760159,-71.1355519,5.32,5.94,5.39,7.87,10.01,6.87,8.67,7.45,2.77,6.34,45,1,45,96,3.13,5,House,Private room,2,100,1,2,1,133
3968797,42.2903635,-71.1309353,4.32,4.79,4.59,6.7,9.26,6.12,7.92,6.7,1.64,5.49,85,1,85,97,1.67,29,House,Private room,2,100,2,1.5,1,267
1494726,42.2755249,-71.1312728,5.39,6.01,5.46,7.98,10.08,6.94,8.74,7.52,2.84,6.41,75,1,75,93,0.37,9,House,Private room,1,100,1,1,1,355
8473851,42.2784885,-71.1372684,5.18,5.74,5.25,7.65,9.87,6.73,8.53,7.31,2.63,6.2,50,1,50,99,1.23,14,House,Private room,2,100,1,2,1,161
3575220,42.2790067,-71.1361654,5.1,5.71,5.16,7.61,9.78,6.64,8.45,7.22,2.54,6.11,45,1,45,97,0.33,8,House,Private room,1,100,3,2.5,1,260
1591827,42.2836161,-71.1190032,4.38,4.99,4.44,6.96,9.06,5.92,7.73,6.5,2.07,5.39,60,1,60,92,3.22,117,House,Private room,2,100,1,1,1,248
3229255,42.2852178,-71.1342563,4.79,5.28,4.85,7.2,9.47,6.33,8.14,6.92,2.14,5.8,95,1,95,99,2.07,53,Apartment,Entire home/apt,3,90,1,1,1,258
594693,42.2955696,-71.1220297,3.87,4.47,3.94,6.38,8.56,5.42,7.22,6,1.13,4.89,70,1,70,93,0.46,23,Apartment,Private room,2,100,2,1,1,328
2384581,42.3104274,-71.1173996,2.54,3.07,2.81,5.03,7.78,4.48,6.24,5.22,0.54,3.71,95,1,95,93,0.46,14,House,Private room,2,93,2,1,1,365
4262255,42.3041938,-71.1062922,2.85,3.58,2.92,5.62,7.54,4.4,6.2,4.98,0.94,3.87,80,1,80,99,2.48,57,Apartment,Private room,2,100,1,1,1,301
4000384,42.3167197,-71.1007364,1.91,2.64,1.97,4.79,6.72,3.53,5.29,4.16,1.61,2.92,120,1,120,97,2.36,58,House,Private room,2,70,2,1,1,109
6730758,42.3133696,-71.1043735,2.17,2.89,2.22,4.97,6.99,3.8,5.55,4.43,1.2,3.14,100,2,50,97,3.03,46,Apartment,Private room,4,100,1,1,1,23
6248970,42.3209036,-71.104655,1.41,2.32,1.66,4.39,6.64,3.35,5.1,4.08,1.63,2.6,65,1,65,96,4.29,68,Apartment,Private room,1,100,1,1,1,43
3703674,42.3140033,-71.1122811,2.26,2.79,2.53,4.76,7.36,4.07,5.82,4.8,0.92,3.42,75,1,75,100,0.62,4,Townhouse,Private room,2,100,1,1,1,250
5717528,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,110,1,110,94,0.48,7,Apartment,Private room,1,100,1,1,1,346
5601743,42.3129882,-71.1028974,2.21,2.94,2.28,5.08,6.9,3.76,5.56,4.34,1.24,3.23,46,1,46,82,1.46,18,House,Private room,2,73,4,1,1,62
6990904,42.3144764,-71.1006797,2.05,2.78,2.12,5,6.74,3.6,5.4,4.18,1.42,3.07,73,1,73,99,1.35,19,House,Private room,2,50,2,2,1,78
197727,42.311169,-71.1187802,2.56,3.04,2.83,4.96,7.85,4.55,6.33,5.29,0.44,3.88,85,1,85,99,0.36,22,Apartment,Private room,1,100,1,1,1,306
932853,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,120,1,120,96,0.41,17,Apartment,Private room,2,100,4,2,1,337
9677354,42.3169505,-71.1059087,1.92,2.64,1.98,4.61,6.84,3.55,5.3,4.28,1.37,2.9,70,1,70,93,1.35,7,Apartment,Private room,1,60,1,1,1,363
7956634,42.2955696,-71.1220297,3.87,4.47,3.94,6.38,8.56,5.42,7.22,6,1.13,4.89,61,1,61,97,0.78,7,Condominium,Private room,2,67,1,1,1,255
568234,42.3070002,-71.1117353,2.74,3.41,2.79,5.38,7.59,4.36,6.12,5.03,0.58,3.71,125,2,62.5,97,2.61,132,House,Private room,4,100,2,1,1,328
1030500,42.2915123,-71.1162369,3.89,4.5,3.96,6.47,8.58,5.44,7.24,6.02,1.59,4.91,100,1,100,88,0.35,14,Apartment,Private room,2,100,1,1,1,316
12930651,42.3042287,-71.1138303,2.91,3.45,3.04,5.42,7.81,4.61,6.37,5.25,0.62,3.96,80,1,80,98,3.91,12,Apartment,Private room,2,90,1,1,1,0
4223387,42.3178068,-71.1007759,1.8,2.53,1.87,4.68,6.72,3.43,5.18,4.16,1.58,2.82,75,2,37.5,91,1.83,43,House,Private room,3,100,1,1,1,358
2963419,42.3205597,-71.1136688,1.78,2.31,2.05,4.28,7.09,3.8,5.56,4.53,1.39,3.09,100,1,100,98,0.71,20,House,Private room,1,67,1,1,1,279
5904732,42.3143258,-71.0988743,2,2.73,2.07,4.98,6.67,3.53,5.33,4.11,1.53,3.01,70,1,70,93,0.53,9,House,Private room,2,100,3,2.5,1,333
3591359,42.3238121,-71.1053298,1.21,2.18,1.48,4.15,6.56,3.28,5.04,4,1.74,2.42,190,2,95,95,1.43,26,Apartment,Entire home/apt,4,100,1,1,2,48
2538536,42.3317642,-71.1211635,1.36,1.76,1.63,3.57,6.84,3.53,5.04,4.28,2.29,2.67,149,1,149,95,0.59,17,Apartment,Entire home/apt,3,86,1,1,1,333
4975581,42.319843,-71.1142976,1.84,2.38,2.11,4.36,7.14,3.84,5.6,4.58,1.27,3.06,168,2,84,94,2.57,47,Apartment,Entire home/apt,6,90,1,1,2,285
4767023,42.3243037,-71.1067244,1.28,2.1,1.54,4.08,6.62,3.34,5.11,4.06,1.72,2.48,205,4,51.25,87,0.7,9,House,Entire home/apt,5,100,2,2,3,257
6364042,42.3143258,-71.0988743,2,2.73,2.07,4.98,6.67,3.53,5.33,4.11,1.53,3.01,65,1,65,92,1.32,17,House,Private room,2,100,3,2.5,1,331
7986179,42.3216934,-71.114624,1.7,2.18,1.97,4.09,7.09,3.79,5.46,4.53,1.33,3.02,75,1,75,92,1.5,5,Apartment,Entire home/apt,2,80,1,1,1,0
1109224,42.3258875,-71.1117783,1.31,1.85,1.59,3.83,6.8,3.51,5.14,4.24,1.67,2.63,429,6,71.5,91,0.95,35,Apartment,Entire home/apt,8,100,1,2,4,331
1067184,42.3058808,-71.1169152,2.82,3.36,3.09,5.33,7.88,4.67,6.42,5.32,0.35,3.99,95,1,95,95,1.32,53,Apartment,Private room,2,90,1,1,1,356
1301500,42.3113932,-71.109168,2.34,3.04,2.4,5.01,7.26,3.97,5.72,4.7,0.92,3.32,69,1,69,100,1.17,13,Apartment,Private room,2,100,1,1,1,65
8923817,42.3096742,-71.1131974,2.56,3.09,2.63,5.06,7.57,4.28,6.04,5.01,0.64,3.58,165,1,165,93,0.85,9,House,Entire home/apt,2,100,4,1,1,276
5521378,42.3113351,-71.1004703,2.25,2.99,2.32,5.23,6.94,3.8,5.6,4.38,1.36,3.27,87,1,87,97,0.41,6,Apartment,Private room,2,100,1,1,1,74
13041602,42.2987446,-71.112422,3.32,3.94,3.39,5.91,8.01,4.87,6.67,5.45,1.02,4.34,62,1,62,96,5.41,20,Townhouse,Private room,2,100,2,1,1,2
950046,42.3102529,-71.1080533,2.38,3.1,2.44,5.11,7.3,4.01,5.76,4.74,0.9,3.36,250,3,83.33,90,0.16,6,Apartment,Entire home/apt,6,100,1,2,3,197
3342094,42.3166444,-71.1142376,2.03,2.56,2.3,4.53,7.27,3.97,5.73,4.71,1.01,3.19,150,2,75,97,0.54,14,Apartment,Entire home/apt,6,100,2,1,2,185
14105971,42.3085448,-71.1105363,2.57,3.21,2.63,5.18,7.49,4.2,5.95,4.93,0.63,3.55,119,1,119,100,8.67,13,Apartment,Entire home/apt,2,100,1,1,0,23
2875267,42.3114522,-71.1161691,2.43,2.96,2.7,4.93,7.67,4.37,6.13,5.11,0.66,3.59,175,1,175,99,5.77,148,Apartment,Entire home/apt,2,100,2,1,0,120
9485607,42.3208799,-71.1065402,1.6,2.38,1.84,4.35,6.83,3.54,5.3,4.28,1.63,2.79,195,2,97.5,96,2.81,24,House,Entire home/apt,6,100,1,2,2,290
7273770,42.3048207,-71.1131741,2.9,3.44,2.98,5.41,7.75,4.55,6.3,5.19,0.61,3.9,145,2,72.5,90,1.11,4,Condominium,Entire home/apt,4,100,1,1,2,0
5405928,42.3068503,-71.1192035,2.83,3.35,3.1,5.27,7.98,4.7,6.46,5.42,0.15,4,200,2,100,92,0.6,10,Apartment,Entire home/apt,4,100,1,1,2,340
4586681,42.3146554,-71.112026,2.2,2.74,2.47,4.71,7.32,4.02,5.78,4.76,1.03,3.37,90,1,90,99,2.45,42,House,Private room,1,100,1,1,1,339
1113272,42.306175,-71.106119,2.68,3.41,2.75,5.55,7.37,4.22,6.03,4.81,0.9,3.69,210,2,105,94,1.25,41,Apartment,Entire home/apt,4,100,1,1,2,310
12647606,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,75,1,75,100,1.94,8,Apartment,Private room,2,90,1,1,1,59
7879708,42.2969269,-71.1143927,3.45,4.06,3.52,6.03,8.14,5,6.8,5.58,1.15,4.47,75,1,75,100,1.08,12,Condominium,Private room,2,96,1,1,1,365
3881993,42.3041938,-71.1062922,2.85,3.58,2.92,5.62,7.54,4.4,6.2,4.98,0.94,3.87,500,3,166.67,89,0.33,8,Apartment,Entire home/apt,6,100,8,1,3,364
12566065,42.30409,-71.1106053,2.91,3.64,2.97,5.68,7.59,4.45,6.26,5.03,0.97,3.92,60,1,60,90,1.97,4,Apartment,Private room,2,40,1,1,1,146
6602217,42.3234452,-71.1081651,1.38,2.15,1.69,4.13,6.79,3.49,5.25,4.23,1.57,2.64,130,2,65,90,4.25,66,Apartment,Entire home/apt,5,100,3,1,1,299
3276286,42.3120041,-71.104052,2.28,3,2.34,5.08,6.99,3.85,5.65,4.43,1.15,3.26,190,3,63.33,88,1.53,39,Apartment,Entire home/apt,6,100,2,1.5,2,198
2014651,42.306175,-71.106119,2.68,3.41,2.75,5.55,7.37,4.22,6.03,4.81,0.9,3.69,100,1,100,91,0.72,24,Apartment,Private room,2,100,1,1,1,358
4405982,42.3189996,-71.1127938,1.85,2.39,2.13,4.36,7.09,3.8,5.56,4.53,1.2,3.02,399,4,99.75,99,0.8,18,Apartment,Entire home/apt,8,100,2,2,4,292
250983,42.3228233,-71.109772,1.44,2.17,1.75,4.15,6.87,3.55,5.32,4.31,1.48,2.7,350,2,175,98,0.24,13,Apartment,Entire home/apt,5,94,5,1,2,240
2308630,42.308654,-71.1131202,2.69,3.23,2.72,5.2,7.59,4.29,6.05,5.03,0.53,3.64,200,2,100,98,1.09,32,Apartment,Entire home/apt,4,100,1,1,2,0
4098410,42.3041938,-71.1062922,2.85,3.58,2.92,5.62,7.54,4.4,6.2,4.98,0.94,3.87,107,1,107,81,0.84,20,Apartment,Private room,2,100,8,1,1,363
6322283,42.3085448,-71.1105363,2.57,3.21,2.63,5.18,7.49,4.2,5.95,4.93,0.63,3.55,69,1,69,96,1.16,18,Apartment,Private room,1,80,2,1,1,88
7823025,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,76,1,76,92,4.68,57,Apartment,Private room,2,100,5,1,1,149
9549850,42.3205726,-71.1071514,1.67,2.42,1.91,4.4,6.88,3.58,5.34,4.32,1.6,2.86,75,1,75,95,6.15,48,Apartment,Entire home/apt,2,100,2,1,1,184
7845607,42.3157967,-71.1150174,2.12,2.66,2.4,4.63,7.36,4.07,5.83,4.81,0.97,3.29,55,1,55,78,0.74,9,House,Private room,1,90,1,1,1,0
11826815,42.2989452,-71.1116663,3.32,3.93,3.38,5.9,8,4.86,6.67,5.44,1.01,4.33,88,1,88,96,0.86,5,House,Private room,2,100,3,1,1,0
4765070,42.3234452,-71.1081651,1.38,2.15,1.69,4.13,6.79,3.49,5.25,4.23,1.57,2.64,90,1,90,93,6.77,139,House,Entire home/apt,2,100,3,1,0,283
2880944,42.3129614,-71.1163506,2.42,2.9,2.69,4.81,7.68,4.39,6.14,5.12,0.78,3.61,185,2,92.5,100,0.15,4,Apartment,Entire home/apt,4,100,1,2,2,0
10253591,42.3147015,-71.0996176,1.96,2.7,2.03,4.93,6.65,3.51,5.31,4.09,1.49,2.98,105,1,105,91,3.46,21,House,Private room,2,92,1,1,1,335
1881298,42.3001299,-71.111615,3.23,3.84,3.3,5.81,7.91,4.77,6.58,5.36,0.93,4.24,90,1,90,95,5.58,192,House,Private room,2,100,1,1,1,266
210097,42.3097365,-71.1151431,2.47,3.01,2.74,4.98,7.71,4.42,6.17,5.15,0.51,3.64,100,1,100,97,1.9,115,Apartment,Entire home/apt,2,100,1,1,1,284
6059968,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,100,1,100,98,0.6,10,Apartment,Shared room,2,100,4,1,1,338
6862758,42.3180879,-71.1049211,1.84,2.56,1.89,4.61,6.76,3.46,5.22,4.2,1.45,2.81,200,3,66.67,100,0.75,11,Apartment,Entire home/apt,5,100,1,1.5,2,0
9057435,42.3129614,-71.1163506,2.42,2.9,2.69,4.81,7.68,4.39,6.14,5.12,0.78,3.61,319,3,106.33,100,0.63,6,Apartment,Entire home/apt,6,100,2,1,3,145
750438,42.3069064,-71.1126004,2.78,3.37,2.84,5.34,7.63,4.41,6.16,5.08,0.54,3.76,85,1,85,96,2.29,91,Apartment,Private room,2,100,2,1,1,143
12874603,42.3170274,-71.1048852,1.87,2.59,1.92,4.67,6.79,3.5,5.25,4.23,1.35,2.84,70,1,70,74,3.13,10,Condominium,Private room,2,50,1,2,1,0
2077794,42.3048207,-71.1131741,2.9,3.44,2.98,5.41,7.75,4.55,6.3,5.19,0.61,3.9,119,1,119,86,0.47,14,Apartment,Entire home/apt,4,100,1,1,1,146
13677640,42.3120135,-71.1003526,2.2,2.94,2.27,5.18,6.89,3.75,5.55,4.33,1.37,3.22,53,1,53,80,2.05,5,Apartment,Private room,2,70,1,1,1,0
3371091,42.3166444,-71.1142376,2.03,2.56,2.3,4.53,7.27,3.97,5.73,4.71,1.01,3.19,125,1,125,95,0.5,13,Apartment,Private room,4,100,2,1,1,365
732999,42.2955696,-71.1220297,3.87,4.47,3.94,6.38,8.56,5.42,7.22,6,1.13,4.89,205,2,102.5,97,0.3,14,Apartment,Entire home/apt,4,100,2,1,2,292
6106955,42.308581,-71.1014255,2.46,3.19,2.53,5.43,7.15,4,5.81,4.59,1.21,3.48,114,2,57,95,0.56,8,Condominium,Entire home/apt,5,100,1,1,2,213
2698996,42.3122377,-71.1242252,2.65,3.11,2.92,5.03,8.05,4.75,6.4,5.49,0.57,3.96,75,1,75,98,4.45,131,Apartment,Private room,2,100,1,1,1,337
27611,42.3157967,-71.1150174,2.12,2.66,2.4,4.63,7.36,4.07,5.83,4.81,0.97,3.29,185,1,185,86,0.29,8,Apartment,Entire home/apt,2,100,1,1,1,73
4025194,42.331929,-71.0820555,1.14,1.75,1.09,3.87,5.14,2.02,3.8,2.58,3.01,1.75,75,1,75,97,6.2,150,Apartment,Private room,2,100,4,1,1,159
12071820,42.306101,-71.1116089,2.77,3.46,2.82,5.43,7.59,4.39,6.15,5.03,0.62,3.74,70,1,70,96,1.06,5,Apartment,Shared room,2,100,1,1,1,57
7910223,42.3167197,-71.1007364,1.91,2.64,1.97,4.79,6.72,3.53,5.29,4.16,1.61,2.92,150,2,75,96,5.74,71,Bed & Breakfast,Entire home/apt,2,100,3,1,1,211
13513012,42.2989452,-71.1116663,3.32,3.93,3.38,5.9,8,4.86,6.67,5.44,1.01,4.33,84,1,84,100,3,6,Apartment,Private room,2,100,1,1,1,9
3730447,42.2945736,-71.1153751,3.61,4.22,3.68,6.2,8.3,5.16,6.96,5.74,1.31,4.63,200,2,100,89,1.14,29,Apartment,Entire home/apt,4,100,2,1,2,248
4149974,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,115,1,115,96,3.14,70,Apartment,Entire home/apt,2,100,1,1,1,314
6238463,42.3401489,-71.0902509,0.54,0.9,0.28,3.14,5.09,1.8,3.57,2.53,3.22,1.05,95,1,95,98,2.12,25,Townhouse,Private room,2,100,1,1,1,35
4583526,42.303834,-71.1165933,3.2,3.73,3.35,5.7,8.08,4.92,6.74,5.52,0.7,4.27,230,4,57.5,97,3.85,75,Apartment,Entire home/apt,9,100,1,1,4,328
7287822,42.3143122,-71.1100048,2.26,2.79,2.23,4.76,7.18,3.89,5.64,4.62,1.05,3.18,130,4,32.5,99,4.55,59,Apartment,Entire home/apt,4,100,1,1,1,129
8354938,42.3147015,-71.0996176,1.96,2.7,2.03,4.93,6.65,3.51,5.31,4.09,1.49,2.98,192,3,64,93,1.81,20,Apartment,Entire home/apt,5,100,8,1,2,177
5025015,42.3239036,-71.1090608,1.35,2.12,1.66,4.1,6.75,3.46,5.23,4.19,1.56,2.61,175,4,43.75,85,5.39,99,Apartment,Entire home/apt,5,100,1,1,3,305
7554801,42.3205726,-71.1071514,1.67,2.42,1.91,4.4,6.88,3.58,5.34,4.32,1.6,2.86,65,1,65,100,0.95,6,Townhouse,Private room,2,100,1,1.5,1,21
6602167,42.3234452,-71.1081651,1.38,2.15,1.69,4.13,6.79,3.49,5.25,4.23,1.57,2.64,168,4,42,89,5.61,23,Apartment,Entire home/apt,6,100,3,1,2,298
3987926,42.331929,-71.0820555,1.14,1.75,1.09,3.87,5.14,2.02,3.8,2.58,3.01,1.75,60,1,60,98,6.94,169,Apartment,Private room,2,100,4,1,1,159
5729845,42.2329523,-71.1335994,8.02,8.64,8.09,10.61,12.71,9.57,11.37,10.15,5.72,9.04,59,1,59,90,2.78,47,Apartment,Private room,2,100,1,1,1,346
9727523,42.3167535,-71.1075896,1.8,2.63,2,4.6,6.95,3.65,5.41,4.39,1.3,2.95,60,1,60,91,1.64,15,House,Private room,2,100,2,1,1,328
12463555,42.3069064,-71.1126004,2.78,3.37,2.84,5.34,7.63,4.41,6.16,5.08,0.54,3.76,145,4,36.25,94,1.69,7,Apartment,Entire home/apt,4,80,1,1,2,0
3616081,42.525619,-70.929103,17.62,17.08,17.45,15.94,13.41,15.87,14.27,15.49,20.38,16.8,114,2,57,97,5.08,127,Apartment,Entire home/apt,3,100,2,1,1,334
554720,42.3189996,-71.1127938,1.85,2.39,2.13,4.36,7.09,3.8,5.56,4.53,1.2,3.02,240,2,120,95,2.25,108,Apartment,Entire home/apt,6,100,1,2,2,308
7743569,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,69,1,69,98,0.88,11,Apartment,Private room,2,100,5,1,1,290
732932,42.2955696,-71.1220297,3.87,4.47,3.94,6.38,8.56,5.42,7.22,6,1.13,4.89,80,1,80,95,0.38,18,Apartment,Private room,2,100,2,1,1,302
749247,42.3120041,-71.104052,2.28,3,2.34,5.08,6.99,3.85,5.65,4.43,1.15,3.26,85,1,85,97,1.46,62,Apartment,Private room,2,100,2,1,1,349
667325,42.3099285,-71.1135138,2.53,3.07,2.8,5.04,7.6,4.3,6.06,5.04,0.62,3.6,75,2,37.5,92,3.59,58,Apartment,Private room,4,100,2,1,1,121
1885825,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,80,2,40,96,3.27,97,House,Private room,3,100,5,1,1,298
629814,42.3183657,-71.1028998,1.87,2.61,1.94,4.76,6.8,3.5,5.26,4.24,1.51,2.89,225,2,112.5,100,0.21,8,Apartment,Entire home/apt,4,100,2,1,2,154
10299047,42.3135981,-71.1040241,2.17,2.89,2.23,4.97,6.97,3.8,5.55,4.41,1.23,3.15,175,2,87.5,94,3.12,13,Apartment,Entire home/apt,4,100,1,1,2,153
9463444,42.3097614,-71.1106476,2.49,3.13,2.54,5.1,7.41,4.11,5.87,4.85,0.71,3.46,109,2,54.5,100,4.14,16,Apartment,Entire home/apt,3,100,1,1,0,47
6465075,42.2980991,-71.1126716,3.36,3.98,3.43,5.95,8.05,4.91,6.71,5.49,1.06,4.38,383,6,63.83,94,1.28,20,Condominium,Entire home/apt,10,90,1,2,5,286
9577988,42.3226789,-71.1131405,1.6,2.14,1.87,4.07,7.05,3.8,5.43,4.49,1.49,2.92,99,3,33,97,2.48,23,Apartment,Entire home/apt,6,100,1,1,2,209
9971054,42.3044645,-71.116469,2.91,3.44,3.18,5.42,7.92,4.72,6.48,5.36,0.43,4.07,50,1,50,91,1.65,9,Apartment,Private room,2,100,1,1,1,178
7348110,42.3267966,-71.0986349,0.99,1.73,1.06,4.02,6.08,2.78,4.54,3.52,2.21,2.01,300,2,150,93,1.15,16,Apartment,Entire home/apt,4,100,1,1,2,364
3021446,42.3193007,-71.1075489,1.94,2.47,1.93,4.45,6.88,3.59,5.34,4.32,1.51,2.88,80,1,80,92,3.97,107,Apartment,Private room,2,100,1,1,1,302
7708436,42.3088143,-71.1066889,2.53,3.25,2.58,5.31,7.24,4.09,5.9,4.68,1.01,3.5,85,1,85,97,2.09,26,House,Private room,2,100,1,1,1,41
11514237,42.3127903,-71.1077297,2.2,2.92,2.26,4.93,7.12,3.83,5.59,4.57,1.03,3.18,150,2,75,98,1.92,10,Apartment,Entire home/apt,2,100,1,1,1,339
11946029,42.322393,-71.1036163,1.29,2.16,1.5,4.27,6.52,3.23,4.98,3.96,1.77,2.45,100,1,100,93,1.54,8,Apartment,Private room,2,100,1,1,1,309
